DATUM,CAS,SUM_of_MNOZSTVO
03-08-13,30,9391.13358
03-08-13,45,9281.605959
03-08-13,60,9117.636027
03-08-13,75,9226.508111
03-08-13,90,9230.897267
03-08-13,105,9334.615984
03-08-13,120,9508.646207
03-08-13,135,9699.374464
03-08-13,150,9723.223098
03-08-13,165,9761.563493
03-08-13,180,9731.247087
03-08-13,195,10105.35025
03-08-13,210,9909.629582
03-08-13,225,9830.240562
03-08-13,240,10153.81703
03-08-13,255,10660.35403
03-08-13,270,10790.7571
03-08-13,285,10781.51968
03-08-13,300,10882.01827
03-08-13,315,11092.31947
03-08-13,330,11419.93743
03-08-13,345,11911.63273
03-08-13,360,12098.95825
03-08-13,375,12168.47751
03-08-13,390,12317.1848
03-08-13,405,12557.68365
03-08-13,420,12779.61717
03-08-13,435,12774.36134
03-08-13,450,12880.76132
03-08-13,465,12843.83924
03-08-13,480,12945.00964
03-08-13,495,12887.34518
03-08-13,510,12893.28026
03-08-13,525,12689.37851
03-08-13,540,12535.34127
03-08-13,555,12921.14782
03-08-13,570,13036.93741
03-08-13,585,13076.58333
03-08-13,600,13140.00306
03-08-13,615,13115.35289
03-08-13,630,12973.21127
03-08-13,645,12825.4325
03-08-13,660,12793.20716
03-08-13,675,12600.26208
03-08-13,690,12223.07143
03-08-13,705,12344.97493
03-08-13,720,12349.39011
03-08-13,735,12347.02043
03-08-13,750,12172.27834
03-08-13,765,12106.58084
03-08-13,780,11849.1482
03-08-13,795,11981.71392
03-08-13,810,11764.47016
03-08-13,825,12032.19837
03-08-13,840,12046.46333
03-08-13,855,12047.9186
03-08-13,870,12036.98421
03-08-13,885,12030.43716
03-08-13,900,12031.27334
03-08-13,915,11946.39159
03-08-13,930,11792.4902
03-08-13,945,11373.94061
03-08-13,960,11279.28741
03-08-13,975,11278.38941
03-08-13,990,11163.76396
03-08-13,1005,11319.33943
03-08-13,1020,11589.30956
03-08-13,1035,11635.6318
03-08-13,1050,11552.83418
03-08-13,1065,11390.65108
03-08-13,1080,11388.42699
03-08-13,1095,11305.84498
03-08-13,1110,10907.84518
03-08-13,1125,10957.36553
03-08-13,1140,11126.93238
03-08-13,1155,10986.84568
03-08-13,1170,10956.68338
03-08-13,1185,10756.90814
03-08-13,1200,10650.12697
03-08-13,1215,10289.45038
03-08-13,1230,10071.0721
03-08-13,1245,10002.80861
03-08-13,1260,9592.695208
03-08-13,1275,9497.557233
03-08-13,1290,9466.478187
03-08-13,1305,9343.919526
03-08-13,1320,9284.59113
04-08-13,-105,9473.756076
04-08-13,-90,9349.118693
04-08-13,-75,9258.708112
04-08-13,-60,9204.384951
04-08-13,-45,9228.827659
04-08-13,-30,9225.685989
04-08-13,-15,9046.53491
04-08-13,0,9023.052564
04-08-13,15,8623.612674
04-08-13,30,8474.342222
04-08-13,45,8309.385562
04-08-13,60,8190.211191
04-08-13,75,8263.384801
04-08-13,90,8235.513465
04-08-13,105,8394.916919
04-08-13,120,8608.853434
04-08-13,135,8706.245646
04-08-13,150,8712.637282
04-08-13,165,9004.813893
04-08-13,180,9094.88422
04-08-13,195,9298.444851
04-08-13,210,8933.209086
04-08-13,225,8915.221234
04-08-13,240,9048.267719
04-08-13,255,9364.361878
04-08-13,270,9275.904231
04-08-13,285,9223.769987
04-08-13,300,9439.969792
04-08-13,315,10052.53906
04-08-13,330,10123.22042
04-08-13,345,10597.92034
04-08-13,360,10779.2555
04-08-13,375,10918.85511
04-08-13,390,11188.8634
04-08-13,405,11358.62844
04-08-13,420,11535.5311
04-08-13,435,11573.66152
04-08-13,450,11349.84332
04-08-13,465,11284.97363
04-08-13,480,11406.99661
04-08-13,495,11452.03004
04-08-13,510,11417.21598
04-08-13,525,11193.37527
04-08-13,540,11458.54099
04-08-13,555,11660.20623
04-08-13,570,11884.77944
04-08-13,585,11768.44065
04-08-13,600,11858.38829
04-08-13,615,11718.77909
04-08-13,630,11546.86484
04-08-13,645,11109.87364
04-08-13,660,11112.13486
04-08-13,675,11071.02398
04-08-13,690,10850.97573
04-08-13,705,10902.60418
04-08-13,720,11010.2142
04-08-13,735,11099.71611
04-08-13,750,10934.30996
04-08-13,765,10995.39731
04-08-13,780,10938.1963
04-08-13,795,10878.13859
04-08-13,810,10926.89927
04-08-13,825,10861.68792
04-08-13,840,10880.53656
04-08-13,855,10865.97007
04-08-13,870,10997.01563
04-08-13,885,11051.26513
04-08-13,900,11097.47863
04-08-13,915,11028.43547
04-08-13,930,10934.99339
04-08-13,945,10837.70556
04-08-13,960,10800.27355
04-08-13,975,10641.24156
04-08-13,990,10361.54984
04-08-13,1005,10520.43931
04-08-13,1020,10567.68332
04-08-13,1035,10500.69438
04-08-13,1050,10420.06108
04-08-13,1065,10594.24759
04-08-13,1080,10471.72917
04-08-13,1095,10363.16565
04-08-13,1110,10326.42161
04-08-13,1125,10351.89185
04-08-13,1140,10293.96882
04-08-13,1155,10016.46482
04-08-13,1170,9632.658859
04-08-13,1185,9589.132634
04-08-13,1200,9524.170855
04-08-13,1215,9444.697252
04-08-13,1230,9427.308289
04-08-13,1245,9480.615438
04-08-13,1260,9440.032444
04-08-13,1275,9539.936316
04-08-13,1290,9176.908504
04-08-13,1305,9116.654775
04-08-13,1320,8949.19971
05-08-13,-105,9145.982234
05-08-13,-90,9032.347214
05-08-13,-75,8947.400201
05-08-13,-60,9052.971611
05-08-13,-45,9001.644577
05-08-13,-30,8853.767858
05-08-13,-15,8536.128618
05-08-13,0,8233.341681
05-08-13,15,8276.7199
05-08-13,30,8326.31364
05-08-13,45,8264.227752
05-08-13,60,8267.892596
05-08-13,75,8679.278563
05-08-13,90,8893.247768
05-08-13,105,8991.055496
05-08-13,120,8904.879081
05-08-13,135,8973.104485
05-08-13,150,8838.642125
05-08-13,165,8900.651923
05-08-13,180,9167.553309
05-08-13,195,9296.758208
05-08-13,210,9320.637249
05-08-13,225,9821.585953
05-08-13,240,10795.25978
05-08-13,255,12398.16945
05-08-13,270,13181.09774
05-08-13,285,13911.83372
05-08-13,300,14551.22237
05-08-13,315,15250.48752
05-08-13,330,15396.49714
05-08-13,345,15531.69235
05-08-13,360,15942.9449
05-08-13,375,16410.52105
05-08-13,390,17050.33649
05-08-13,405,17311.92046
05-08-13,420,17613.26818
05-08-13,435,17847.13076
05-08-13,450,17860.26322
05-08-13,465,17553.95644
05-08-13,480,17690.40982
05-08-13,495,17573.57545
05-08-13,510,17415.47141
05-08-13,525,17066.25635
05-08-13,540,17033.64106
05-08-13,555,17112.91327
05-08-13,570,17054.43705
05-08-13,585,16450.71463
05-08-13,600,16600.64305
05-08-13,615,16745.71324
05-08-13,630,17239.39983
05-08-13,645,17377.23118
05-08-13,660,17366.1834
05-08-13,675,17370.58858
05-08-13,690,17349.01075
05-08-13,705,16918.76902
05-08-13,720,16743.22307
05-08-13,735,16750.71323
05-08-13,750,16570.83372
05-08-13,765,16489.11223
05-08-13,780,16334.95718
05-08-13,795,16347.1541
05-08-13,810,16003.89929
05-08-13,825,15806.1497
05-08-13,840,15589.28843
05-08-13,855,15588.51093
05-08-13,870,15371.15385
05-08-13,885,15313.16946
05-08-13,900,15093.84999
05-08-13,915,14901.6324
05-08-13,930,14545.5953
05-08-13,945,14486.17835
05-08-13,960,14394.3918
05-08-13,975,13826.86714
05-08-13,990,13541.97554
05-08-13,1005,13704.05075
05-08-13,1020,13847.70973
05-08-13,1035,13683.14837
05-08-13,1050,13678.5424
05-08-13,1065,13546.37622
05-08-13,1080,13607.19849
05-08-13,1095,13455.3222
