DATUM,CAS,SUM_of_MNOZSTVO
02/07/2013,1170,38706.764569
02/07/2013,1185,36956.200955
02/07/2013,1200,34687.512519
02/07/2013,1215,33945.020839
02/07/2013,1230,33714.590253
02/07/2013,1245,33752.550579
02/07/2013,1260,33791.471596
02/07/2013,1275,33561.281686
02/07/2013,1290,33664.548186
02/07/2013,1305,32811.560206
02/07/2013,1320,32612.700772
03/07/2013,-105,32248.668945
03/07/2013,-90,32214.850606
03/07/2013,-75,32248.379868
03/07/2013,-60,32022.50241
03/07/2013,-45,31666.674627
03/07/2013,-30,31925.804629
03/07/2013,-15,31576.656827
03/07/2013,0,30746.508139

